"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","GP","MIN","FTM","2PM","A/TO","PF"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"Kostas Antetokounmpo","FA","PF,C FA","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
""
""
