"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","GP","MIN","FTM","2PM","A/TO","PF"
"Jason Preston","LAC","PG","41","22","27","0","2",".439",".000","5","10","14","124","0","13","2.70","7"
"Omer Yurtseven","MIA","C","40","23","2","2","2",".593",".833","3","4","9","83","5","13","0.50","16"
"Xavier Cooks","WAS","F","38","38","6","4","6",".607",".400","0","8","10","126","4","17","0.75","13"
"Jared Butler","OKC","SG","37","4","8","0","5",".469",".000","7","5","6","77","0","8","1.60","5"
"Olivier Sarr","OKC","C","36","31","4","5","1",".500",".714","1","4","9","114","5","14","1.00","17"
"Vit Krejci","ATL","PG","36","27","17","1","5",".405",".500","5","5","29","165","1","10","3.40","17"
"Nerlens Noel","FA","PF,C FA","35","46","10","10","16",".361",".667","1","13","17","195","8","12","0.77","32"
"Cody Martin","CHA","SG,SF","35","24","11","1","4",".389",".571","3","2","7","134","4","11","5.50","13"
"Isaiah Mobley","CLE","F","31","20","3","3","4",".429","1.000","3","1","13","84","4","9","3.00","8"
"Vince Williams Jr.","MEM","F","30","15","4","2","6",".300","1.000","4","5","15","105","2","8","0.80","12"
"Greg Brown III","FA","PF FA","28","19","3","5","4",".393",".417","1","6","16","93","5","10","0.50","13"
"Joshua Primo","FA","SG FA","28","13","18","2","1",".346",".778","3","11","4","93","7","6","1.64","8"
"Jordan Hall","FA","SF FA","28","12","11","0","1",".321",".778","3","7","9","83","7","6","1.57","6"
"Udonis Haslem","MIA","PF,C","27","11","0","2","1",".345",".800","3","1","7","70","4","7","0.00","11"
"Ryan Arcidiacono","NYK","PG FA","26","15","23","0","5",".243",".000","8","7","20","172","0","1","3.29","17"
"Sam Merrill","CLE","SG,PG","25","9","5","0","4",".409","1.000","5","0","5","59","2","4","0.00","3"
"Mac McClung","PHI","PG","25","10","9","0","0",".450",".600","4","3","2","41","3","5","3.00","3"
"Noah Vonleh","FA","PF,C FA","25","48","7","8","2",".458","1.000","1","11","23","171","2","10","0.64","35"
"Keon Ellis","SAC","SG","24","8","6","1","5",".438",".571","6","1","16","71","4","1","6.00","10"
"Micah Potter","UTH","F","24","16","4","0","1",".667",".000","4","2","7","52","0","6","2.00","5"
